Run,K,Threshold,Precision,Recall,Accuracy
0,5,0,0.8333333333333334,1.0,0.9
0,5,1,0.8333333333333334,1.0,0.9
0,5,2,0.625,1.0,0.7
0,5,3,0.625,1.0,0.7
0,5,4,0.5,1.0,0.5
0,5,5,0.5,1.0,0.5
0,5,6,0.5,1.0,0.5
0,5,7,0.5,1.0,0.5
0,5,8,0.5,1.0,0.5
0,5,9,0.5,1.0,0.5
0,5,10,0.5,1.0,0.5
0,10,0,0.8333333333333334,1.0,0.9
0,10,1,0.8333333333333334,1.0,0.9
0,10,2,0.8333333333333334,1.0,0.9
0,10,3,0.8333333333333334,1.0,0.9
0,10,4,0.8333333333333334,1.0,0.9
0,10,5,0.8333333333333334,1.0,0.9
0,10,6,0.8333333333333334,1.0,0.9
0,10,7,0.8333333333333334,1.0,0.9
0,10,8,0.8333333333333334,1.0,0.9
0,10,9,0.8333333333333334,1.0,0.9
0,10,10,0.8333333333333334,1.0,0.9
0,15,0,1.0,1.0,1.0
0,15,1,1.0,1.0,1.0
0,15,2,1.0,1.0,1.0
0,15,3,1.0,1.0,1.0
0,15,4,1.0,1.0,1.0
0,15,5,1.0,1.0,1.0
0,15,6,1.0,1.0,1.0
0,15,7,1.0,1.0,1.0
0,15,8,1.0,1.0,1.0
0,15,9,1.0,1.0,1.0
0,15,10,1.0,1.0,1.0
0,30,0,1.0,1.0,1.0
0,30,1,1.0,1.0,1.0
0,30,2,1.0,1.0,1.0
0,30,3,1.0,1.0,1.0
0,30,4,1.0,1.0,1.0
0,30,5,1.0,1.0,1.0
0,30,6,1.0,1.0,1.0
0,30,7,1.0,1.0,1.0
0,30,8,1.0,1.0,1.0
0,30,9,1.0,1.0,1.0
0,30,10,1.0,1.0,1.0
1,5,0,0.8333333333333334,1.0,0.9
1,5,1,0.7142857142857143,1.0,0.8
1,5,2,0.7142857142857143,1.0,0.8
1,5,3,0.7142857142857143,1.0,0.8
1,5,4,0.625,1.0,0.7
1,5,5,0.5555555555555556,1.0,0.6
1,5,6,0.5,1.0,0.5
1,5,7,0.5,1.0,0.5
1,5,8,0.5,1.0,0.5
1,5,9,0.5,1.0,0.5
1,5,10,0.5,1.0,0.5
1,10,0,0.8333333333333334,1.0,0.9
1,10,1,0.8333333333333334,1.0,0.9
1,10,2,0.8333333333333334,1.0,0.9
1,10,3,0.8333333333333334,1.0,0.9
1,10,4,0.8333333333333334,1.0,0.9
1,10,5,0.8333333333333334,1.0,0.9
1,10,6,0.8333333333333334,1.0,0.9
1,10,7,0.8333333333333334,1.0,0.9
1,10,8,0.7142857142857143,1.0,0.8
1,10,9,0.7142857142857143,1.0,0.8
1,10,10,0.7142857142857143,1.0,0.8
1,15,0,1.0,1.0,1.0
1,15,1,0.8333333333333334,1.0,0.9
1,15,2,0.8333333333333334,1.0,0.9
1,15,3,0.8333333333333334,1.0,0.9
1,15,4,0.8333333333333334,1.0,0.9
1,15,5,0.8333333333333334,1.0,0.9
1,15,6,0.8333333333333334,1.0,0.9
1,15,7,0.8333333333333334,1.0,0.9
1,15,8,0.8333333333333334,1.0,0.9
1,15,9,0.8333333333333334,1.0,0.9
1,15,10,0.8333333333333334,1.0,0.9
1,30,0,1.0,1.0,1.0
1,30,1,1.0,1.0,1.0
1,30,2,1.0,1.0,1.0
1,30,3,1.0,1.0,1.0
1,30,4,1.0,1.0,1.0
1,30,5,1.0,1.0,1.0
1,30,6,1.0,1.0,1.0
1,30,7,1.0,1.0,1.0
1,30,8,1.0,1.0,1.0
1,30,9,1.0,1.0,1.0
1,30,10,1.0,1.0,1.0
2,5,0,0.7142857142857143,1.0,0.8
2,5,1,0.7142857142857143,1.0,0.8
2,5,2,0.7142857142857143,1.0,0.8
2,5,3,0.7142857142857143,1.0,0.8
2,5,4,0.5555555555555556,1.0,0.6
2,5,5,0.5555555555555556,1.0,0.6
2,5,6,0.5555555555555556,1.0,0.6
2,5,7,0.5555555555555556,1.0,0.6
2,5,8,0.5555555555555556,1.0,0.6
2,5,9,0.5555555555555556,1.0,0.6
2,5,10,0.5555555555555556,1.0,0.6
2,10,0,0.8333333333333334,1.0,0.9
2,10,1,0.7142857142857143,1.0,0.8
2,10,2,0.7142857142857143,1.0,0.8
2,10,3,0.7142857142857143,1.0,0.8
2,10,4,0.7142857142857143,1.0,0.8
2,10,5,0.7142857142857143,1.0,0.8
2,10,6,0.7142857142857143,1.0,0.8
2,10,7,0.7142857142857143,1.0,0.8
2,10,8,0.7142857142857143,1.0,0.8
2,10,9,0.7142857142857143,1.0,0.8
2,10,10,0.7142857142857143,1.0,0.8
2,15,0,0.8333333333333334,1.0,0.9
2,15,1,0.8333333333333334,1.0,0.9
2,15,2,0.8333333333333334,1.0,0.9
2,15,3,0.8333333333333334,1.0,0.9
2,15,4,0.8333333333333334,1.0,0.9
2,15,5,0.8333333333333334,1.0,0.9
2,15,6,0.8333333333333334,1.0,0.9
2,15,7,0.8333333333333334,1.0,0.9
2,15,8,0.7142857142857143,1.0,0.8
2,15,9,0.7142857142857143,1.0,0.8
2,15,10,0.7142857142857143,1.0,0.8
2,30,0,1.0,1.0,1.0
2,30,1,1.0,1.0,1.0
2,30,2,1.0,1.0,1.0
2,30,3,1.0,1.0,1.0
2,30,4,1.0,1.0,1.0
2,30,5,1.0,1.0,1.0
2,30,6,1.0,1.0,1.0
2,30,7,1.0,1.0,1.0
2,30,8,1.0,1.0,1.0
2,30,9,0.8333333333333334,1.0,0.9
2,30,10,0.8333333333333334,1.0,0.9
3,5,0,1.0,1.0,1.0
3,5,1,0.8333333333333334,1.0,0.9
3,5,2,0.8333333333333334,1.0,0.9
3,5,3,0.8333333333333334,1.0,0.9
3,5,4,0.5555555555555556,1.0,0.6
3,5,5,0.5,1.0,0.5
3,5,6,0.5,1.0,0.5
3,5,7,0.5,1.0,0.5
3,5,8,0.5,1.0,0.5
3,5,9,0.5,1.0,0.5
3,5,10,0.5,1.0,0.5
3,10,0,1.0,1.0,1.0
3,10,1,1.0,1.0,1.0
3,10,2,1.0,1.0,1.0
3,10,3,1.0,1.0,1.0
3,10,4,1.0,1.0,1.0
3,10,5,1.0,1.0,1.0
3,10,6,0.8333333333333334,1.0,0.9
3,10,7,0.8333333333333334,1.0,0.9
3,10,8,0.8333333333333334,1.0,0.9
3,10,9,0.7142857142857143,1.0,0.8
3,10,10,0.7142857142857143,1.0,0.8
3,15,0,1.0,1.0,1.0
3,15,1,1.0,1.0,1.0
3,15,2,1.0,1.0,1.0
3,15,3,1.0,1.0,1.0
3,15,4,1.0,1.0,1.0
3,15,5,1.0,1.0,1.0
3,15,6,1.0,1.0,1.0
3,15,7,1.0,1.0,1.0
3,15,8,1.0,1.0,1.0
3,15,9,1.0,1.0,1.0
3,15,10,1.0,1.0,1.0
3,30,0,1.0,1.0,1.0
3,30,1,1.0,1.0,1.0
3,30,2,1.0,1.0,1.0
3,30,3,1.0,1.0,1.0
3,30,4,1.0,1.0,1.0
3,30,5,1.0,1.0,1.0
3,30,6,1.0,1.0,1.0
3,30,7,1.0,1.0,1.0
3,30,8,1.0,1.0,1.0
3,30,9,1.0,1.0,1.0
3,30,10,1.0,1.0,1.0
4,5,0,0.5555555555555556,1.0,0.6
4,5,1,0.5555555555555556,1.0,0.6
4,5,2,0.5,1.0,0.5
4,5,3,0.5,1.0,0.5
4,5,4,0.5,1.0,0.5
4,5,5,0.5,1.0,0.5
4,5,6,0.5,1.0,0.5
4,5,7,0.5,1.0,0.5
4,5,8,0.5,1.0,0.5
4,5,9,0.5,1.0,0.5
4,5,10,0.5,1.0,0.5
4,10,0,0.625,1.0,0.7
4,10,1,0.5555555555555556,1.0,0.6
4,10,2,0.5555555555555556,1.0,0.6
4,10,3,0.5555555555555556,1.0,0.6
4,10,4,0.5555555555555556,1.0,0.6
4,10,5,0.5555555555555556,1.0,0.6
4,10,6,0.5,1.0,0.5
4,10,7,0.5,1.0,0.5
4,10,8,0.5,1.0,0.5
4,10,9,0.5,1.0,0.5
4,10,10,0.5,1.0,0.5
4,15,0,0.7142857142857143,1.0,0.8
4,15,1,0.625,1.0,0.7
4,15,2,0.625,1.0,0.7
4,15,3,0.625,1.0,0.7
4,15,4,0.5555555555555556,1.0,0.6
4,15,5,0.5555555555555556,1.0,0.6
4,15,6,0.5555555555555556,1.0,0.6
4,15,7,0.5555555555555556,1.0,0.6
4,15,8,0.5555555555555556,1.0,0.6
4,15,9,0.5555555555555556,1.0,0.6
4,15,10,0.5555555555555556,1.0,0.6
4,30,0,1.0,1.0,1.0
4,30,1,1.0,1.0,1.0
4,30,2,1.0,1.0,1.0
4,30,3,1.0,1.0,1.0
4,30,4,1.0,1.0,1.0
4,30,5,1.0,1.0,1.0
4,30,6,1.0,1.0,1.0
4,30,7,1.0,1.0,1.0
4,30,8,1.0,1.0,1.0
4,30,9,1.0,1.0,1.0
4,30,10,1.0,1.0,1.0
